Version IPMI	v2.0
Number of Entries	916
Last Add Time	12/26/2012-08:29:20
Last Erase Time	Pre-Init TimeStamp
Free Space Remaining in Bytes	49014

Num	 Time Stamp		 Sensor Type, Name & Number 				 Event Description 										 Generator ID
1	11/08/2011-12:33:24 PM	Event Logging Disabled,System Event Log (#0x07)	Informational event: System Event Log reports the log area has been cleared.	Integrated BMC - LUN#0 (Channel#0) 
2	11/10/2011-11:16:57 AM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is first of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
3	11/10/2011-11:16:57 AM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is second of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
4	11/10/2011-10:17:16 AM	Power Unit,Pwr Unit Status (#0x01)	Informational event: Pwr Unit Status reports the power unit is powered off or being powered down.	Integrated BMC - LUN#0 (Channel#0) 
5	11/10/2011-11:17:15 AM	Power Unit,Pwr Unit Status (#0x01)	Informational event: Pwr Unit Status reports the power unit is powered off or being powered down.	Integrated BMC - LUN#0 (Channel#0) 
6	11/10/2011-11:17:15 AM	Button/Switch,Button (#0x09)	Informational event: Button reports the power button has been pressed.	Integrated BMC - LUN#0 (Channel#0) 
7	11/10/2011-11:17:18 AM	Power Supply,PS1 Status (#0x50)	Informational event: PS1 Status reports there is no longer an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
8	11/10/2011-11:17:19 AM	Power Supply,PS1 Status (#0x50)	Warning event: PS1 Status reports there is an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
9	11/10/2011-11:17:19 AM	Power Supply,PS1 Status (#0x50)	Informational event: PS1 Status reports there is no longer an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
10	11/10/2011-11:17:20 AM	Power Supply,PS1 Status (#0x50)	Warning event: PS1 Status reports there is an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
11	11/10/2011-11:17:27 AM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is first of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
12	11/10/2011-11:17:28 AM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is second of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
13	11/10/2011-11:18:00 AM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports a system boot event has occurred.	BIOS - LUN#0 (Channel#0) 
14	11/10/2011-01:12:49 PM	Button/Switch,Button (#0x09)	Informational event: Button reports the power button has been pressed.	Integrated BMC - LUN#0 (Channel#0) 
15	11/10/2011-01:12:57 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is first of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
16	11/10/2011-01:12:58 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is second of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
17	11/10/2011-01:12:58 PM	Power Unit,Pwr Unit Status (#0x01)	Informational event: Pwr Unit Status reports the power unit is powered off or being powered down.	Integrated BMC - LUN#0 (Channel#0) 
18	11/10/2011-01:33:40 PM	Processor,P1 Status (#0x70)	Informational event: P1 Status reports the processor's presence has been detected.	Integrated BMC - LUN#0 (Channel#0) 
19	11/10/2011-01:33:40 PM	Processor,P2 Status (#0x71)	Informational event: P2 Status reports the processor's presence has been detected.	Integrated BMC - LUN#0 (Channel#0) 
20	11/10/2011-01:33:44 PM	Power Supply,PS1 Status (#0x50)	Warning event: PS1 Status reports there is an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
21	11/10/2011-01:33:47 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is first of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
22	11/10/2011-01:33:47 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is second of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
23	11/10/2011-01:33:55 PM	Management Subsystem Health,BMC FW Health (#0x10)	Warning event: BMC FW Health reports the sensor is unavailable.	Integrated BMC - LUN#0 (Channel#0) 
24	11/10/2011-01:33:55 PM	Management Subsystem Health,BMC FW Health (#0x10)	Warning event: BMC FW Health reports the sensor is unavailable.	Integrated BMC - LUN#0 (Channel#0) 
25	11/10/2011-01:34:02 PM	Management Subsystem Health,BMC FW Health (#0x10)	Warning event: BMC FW Health reports the sensor is unavailable.	Integrated BMC - LUN#0 (Channel#0) 
26	11/10/2011-01:34:20 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports a system boot event has occurred.	BIOS - LUN#0 (Channel#0) 
27	11/10/2011-01:35:12 PM	Management Subsystem Health,BMC FW Health (#0x10)	Warning event: BMC FW Health reports the sensor is unavailable.	Integrated BMC - LUN#0 (Channel#0) 
28	11/10/2011-01:35:12 PM	Management Subsystem Health,BMC FW Health (#0x10)	Warning event: BMC FW Health reports the sensor is unavailable.	Integrated BMC - LUN#0 (Channel#0) 
29	11/10/2011-03:09:43 PM	Power Supply,PS1 Status (#0x50)	Informational event: PS1 Status reports there is no longer an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
30	11/10/2011-03:09:43 PM	Power Supply,PS1 Status (#0x50)	Warning event: PS1 Status reports there is an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
31	11/10/2011-03:09:51 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is first of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
32	11/10/2011-03:09:52 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports Timestamp Clock Sync. Event is second of two expected events from BIOS on every power on.	BIOS - LUN#0 (Channel#0) 
33	11/10/2011-03:10:20 PM	System Event,BIOS Evt Sensor (#0x83)	Informational event: BIOS Evt Sensor reports a system boot event has occurred.	BIOS - LUN#0 (Channel#0) 
34	11/17/2011-10:19:24 AM	Power Supply,PS1 Status (#0x50)	Informational event: PS1 Status reports there is no longer an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
35	11/17/2011-10:19:25 AM	Power Supply,PS1 Status (#0x50)	Warning event: PS1 Status reports there is an unknown configuration error.	Integrated BMC - LUN#0 (Channel#0) 
